,Day,Hi mean,H slope,H intercept,H SD,Lo mean,L slope,L intercept,L SD
47,48,32,-0.007240086117091541,32.78911845730028,11.13084580305183,16,0.010761163969720112,15.851377410468325,11.325583319856598
48,49,32,0.009695117716508028,31.973140495867778,10.41964047186971,16,0.01252517535939993,15.96308539944904,10.654541646785248
49,50,34,0.020529203416904056,33.17851239669422,11.275316984867594,17,0.04357247031043823,15.274104683195594,10.823980017413511
50,51,35,0.017726925480936222,34.50358126721763,12.134952526859411,18,0.04248558927703312,16.197107438016534,11.62868266418005
51,52,34,0.04888881172303622,32.08278236914602,11.604473082316456,18,0.07871727203278008,13.69132231404959,11.962871482952872
52,53,36,0.020605597610945162,35.690633608815446,10.869418462046687,19,0.03728383915549693,17.339944903581273,9.99142139040088
53,54,36,-0.0018959649975693292,36.87947658402205,11.215035925592257,19,0.030057642891867454,17.928236914600557,10.524228416064592
54,55,36,-0.01796652545315652,37.30234159779616,11.077825024927645,18,0.031786929647892176,16.80867768595042,11.450000917397494
55,56,36,-0.026050420168067245,38.38333333333335,10.670254998672466,19,0.040068754774637116,16.77424242424243,10.979733686238854
56,57,35,-0.014372525869852146,36.08016528925621,10.640388016555464,18,0.008552677269254799,17.53278236914601,10.044770229506767
57,58,33,-0.012014723244669772,34.1482093663912,11.21128882862624,18,-0.015115633030071516,19.324380165289263,10.60494771162907
58,59,35,0.03979443016876174,32.632231404958674,10.020147770593896,18,0.013292589763178026,17.742424242424246,9.774717286920156
59,60,36,-0.01022640461143138,36.95013774104684,9.533219965634133,19,-0.0017605389263142856,19.51308539944904,9.872715847591426
60,61,36,0.01298354052364763,36.08581267217631,9.762986036994187,21,-0.02155010764636437,22.348898071625353,9.420818474436883
61,62,36,-0.01617820681991816,37.47093663911847,10.20462560574867,20,-0.008583929439544363,20.82741046831956,9.857798459909317
62,63,36,-0.05264601708451986,39.95743801652894,10.646072775733712,20,-0.022213348149177026,21.663360881542708,9.722620106570794
63,64,37,-0.05138551288283917,40.107438016528945,10.885075743860481,21,0.009747204666990786,20.545041322314056,9.896576523765999
64,65,37,-0.030318077644280853,38.89559228650139,10.016789127548321,20,-0.001805680950066017,20.540771349862265,10.134169949247157
65,66,37,-0.015924716994235737,38.580853994490376,10.725711927818287,20,0.0059483297451212325,20.52107438016529,10.72307062820529
66,67,37,-0.007163691923050207,38.1012396694215,9.985840816211859,21,-0.01985554552399463,23.01473829201102,9.625188709998431
67,68,37,0.009886103201611174,37.07011019283748,10.309085356924667,21,-0.020876449753455137,23.225482093663917,9.373647428106231
68,69,38,0.018970067365789284,37.246280991735546,10.89989784856921,22,0.006000416695603878,21.876308539944908,9.34469096865808
69,70,39,0.018338079033266175,37.95055096418734,12.354970988361297,22,0.019921522327939426,21.473002754820943,9.79838422054031
70,71,39,-0.020782693242586293,40.944903581267226,10.893985568589097,22,-0.016501145912910593,23.71515151515152,9.620298335084126
